Date,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-06-06,GLAD WASTE 067489700490,Groceries,,,7.97,Walmart,,
2025-06-06,WH BREAD 064947130620,Groceries,,,3.27,Walmart,,
2025-06-06,DADS OAT CC 056833000220,Snacks,,,4.28,Walmart,,
2025-06-06,DADS OAT CC 056833000220,Snacks,,,4.28,Walmart,,
2025-06-06,Discount,Discount,,,-1.56,Walmart,,
2025-06-06,HST,Tax,,,3.11,Walmart,,
2025-06-06,Rewards,Discount,,,-5,Walmart,,
2025-06-06,DIGESTIVE COOKIE HRY,Snacks,,,2.49,No Frills,,
2025-06-06,FN MANDARINS 2LB MRJ,Produce,,,3.99,No Frills,,
2025-06-06,YOGHURT,Dairy,,,3.67,No Frills,,
2025-06-07,WRF No Sugar Free,Snacks,,,9.99,Loblaws,,
2025-06-07,Unico Paste (5 x $1.50),Groceries,,,7.5,Loblaws,,
2025-06-07,Trutaste Homo Milk 2L,Dairy,,,7.68,Loblaws,,
2025-06-07,Sprouted Whole Grain,Bakery,,,5.79,Loblaws,,
2025-06-07,RCLA BG HNY LM E,Medicine,,,2.94,Loblaws,,
2025-06-07,ALW RDNT US,Toiletries,,,11.49,Loblaws,,
2025-06-07,HST,Tax,,,1.68,Loblaws,,
2025-06-08,Baby Carrots 454g,Produce,,,4,Loblaws,,
2025-06-08,Banana (1.175kg),Produce,,,2.04,Loblaws,,
2025-06-08,Watermelon (Red),Produce,,,7.99,Loblaws,,
2025-06-08,Stewing Beef,Meat,,,9.3,Loblaws,,
2025-06-09,Maple Syrup,Groceries,,,15,Loblaws,,
2025-06-09,Ziploc SNDWCH,Groceries,,,5.99,Loblaws,,
2025-06-09,Lemon Poppy Loaf,Bakery,,,5,Loblaws,,
2025-06-09,Wonder Bread Wht,Bakery,,,3.99,Loblaws,,
2025-06-09,HST,Tax,,,0.78,Loblaws,,
2025-06-10,Cottonelle Flushable Wipes,Toiletries,,,35.94,Amazon,,
2025-06-11,Fanta Orange,Beverages,,,7,Loblaws,,
2025-06-11,CEGG LRG WHT,Poultry,,,10.27,Loblaws,,
2025-06-11,TRUTASTE HOMO,Dairy,,,7.68,Loblaws,,
2025-06-11,CHAP MRK BTRSCOT,Dairy,,,10,Loblaws,,
2025-06-11,FM Mandarins 2LB,Produce,,,6.99,Loblaws,,
2025-06-11,WOND Bread WHT,Bakery,,,3.99,Loblaws,,
2025-06-11,HST 13%,Tax,,,0.91,Loblaws,,
2025-06-13,Digestive Cookie MRJ,Snacks,2,,4.98,No Frills,,
2025-06-13,U&M Peanuts HRRJ,Nuts,2,,6,No Frills,,
2025-06-13,Mango Red MRJ,Fruits & Vegetables,,,3.96,No Frills,,
2025-06-13,HST,Tax,,,0.78,No Frills,,
