Date,Item Description,Category,Quantity,Price per Unit,Total Price,Store,,
2025-03-16,NN Peanut Butter,Groceries,,,2.99,Loblaws,,
2025-03-16,Nature Slim Tea,Groceries,,,6.49,Loblaws,,
2025-03-16,Trustaste Homo Milk,Dairy,,,7.68,Loblaws,,
2025-03-16,Bret Mtn Bun Cho,Groceries,,,5.49,Loblaws,,
2025-03-16,16 Whl Grain Bd,Groceries,,,6.99,Loblaws,,
2025-03-16,Reubl Shirt PC OP,Groceries,,,0.35,Loblaws,,
2025-03-16,HST,Tax,,,0.05,Loblaws,,
2025-03-17,FRANK PT 12-24,Groceries,,,24.85,Canadian Tire,,
2025-03-17,HST,Discount,,,-9.07,Canadian Tire,,
2025-03-18,RAISBR. CER.,Groceries,,,5.99,Food Basics,,
2025-03-18,IRAS. DARK RO. TAS,Groceries,,,10.99,Food Basics,,
2025-03-18,SELECTION COCOA,Groceries,,,4.88,Food Basics,,
2025-03-18,OREO PUFFS CER.,Cereal,,,4.99,Food Basics,,
2025-03-18,HL CHICK. WIENERS,Groceries,,,2.99,Food Basics,,
2025-03-18,CLEMENTINES,Fruits & Vegetables,,,3.98,Food Basics,,
2025-03-18,CARROT BABY CUT,Fruits & Vegetables,,,3.48,Food Basics,,
2025-03-18,PREMIUM BANANA,Produce,,,1.12,Food Basics,,
2025-03-18,BARTLETT PEARS,Fruits & Vegetables,,,1.09,Food Basics,,
2025-03-18,WRAPPED BROCCOLI,Fruits & Vegetables,,,1.98,Food Basics,,
2025-03-18,ACTIVIA VANILLA,Groceries,,,4.99,Food Basics,,
2025-03-18,MICRO CROISSANT,Bakery,,,4.49,Food Basics,,
2025-03-19,Mentos Peppermint,Groceries,,,1.79,Loblaws,,
2025-03-19,Wonder Bread White,Bakery,,,7,Loblaws,,
2025-03-19,SS 12 B UN F,Hot Foods,,,14,Loblaws,,
2025-03-19,HST,Tax,,,2.05,Loblaws,,
2025-03-20,Nestle Drink Mix,Beverages,,,4.99,Food Basics,,
2025-03-20,GoldSeal Soya Oil (2x),Groceries,6,,8.94,Food Basics,,
2025-03-20,Premium Banana,Produce,,,1.88,Food Basics,,
2025-03-20,Irris-Inc. Ice Cr,Groceries,,,4.88,Food Basics,,
2025-03-20,Selection Large Eggs,Poultry,,,9.45,Food Basics,,
2025-03-20,Carrot Muffins,Bakery,,,4.99,Food Basics,,
2025-03-21,TUMBLER-BLUE,Groceries,,,0.75,Walmart,,
2025-03-21,TUMBLER-BLUE,Groceries,,,0.75,Walmart,,
2025-03-21,TUMBLER-BLUE,Groceries,,,0.75,Walmart,,
2025-03-21,BOWL-BLUE,Groceries,,,0.75,Walmart,,
2025-03-21,BOWL-BLUE,Groceries,,,0.75,Walmart,,
2025-03-21,GLAD WASTE,Groceries,,,7.97,Walmart,,
2025-03-21,GLAD WASTE,Groceries,,,7.97,Walmart,,
2025-03-21,GLAD WASTE,Groceries,,,7.97,Walmart,,
2025-03-21,OASIS 8X200,Juice,,,4.48,Walmart,,
2025-03-21,NH HOT CHOC,Beverages,,,15.47,Walmart,,
2025-03-21,OASIS 8X200,Juice,,,4.48,Walmart,,
2025-03-21,MAX 3PK,Toiletries,,,7.97,Walmart,,
2025-03-21,HST,Tax,,,4.63,Walmart,,
2025-03-21,U&M PEANUTS,Nuts,,,3,No Frills,,
2025-03-21,PALLY BISCUITS,Snacks,,,6.54,No Frills,,
2025-03-21,AST ORG YOG CAPP,Dairy,,,3.79,No Frills,,
2025-03-21,HST,Tax,,,1.24,No Frills,,
2025-03-22,TUMBLER-BLUE,Groceries,4,,3,Walmart,,
2025-03-22,PLATE-BLUE,Groceries,3,,2.25,Walmart,,
2025-03-22,CARAMILK,Snacks,1,,3.98,Walmart,,
2025-03-22,BOWL-BLUE,Groceries,3,,2.25,Walmart,,
2025-03-22,HST,Tax,,,1.49,Walmart,,
2025-03-22,CARROT BBY 2LB,Fruits & Vegetables,,,5.99,No Frills,,
2025-03-22,BULK PAPAYA,Produce,,,5.62,No Frills,,
2025-03-23,TRUTASTE HOMO,Dairy,,,5.49,Loblaws,,
2025-03-23,DIAL SPRNG WTR,Toiletries,,,4.99,Loblaws,,
2025-03-23,HST,Tax,,,0.65,Loblaws,,
2025-03-24,GOLDSEAL SOYA OIL,Groceries,6,,8.94,Food Basics,,
2025-03-24,PREMIUM BANANA,Fruits & Vegetables,,,1.37,Food Basics,,
2025-03-25,PC Free Run XL Eggs,Poultry,2,,15.1,Loblaws,,
2025-03-25,BR CS CRNL FDG,Groceries,,,7.99,Loblaws,,
2025-03-25,Wonder Bread White,Bakery,2,,7,Loblaws,,
2025-03-25,PC BBQ Chicken,Meat,,,13,Loblaws,,
2025-03-25,HST,Tax,,,1.69,Loblaws,,
2025-03-25,Sprite,Beverages,,,3.99,Loblaws,,
2025-03-25,Discount,Discount,,,-1.99,Loblaws,,
2025-03-25,Pedialyte,Medicine,,,9.99,Loblaws,,
2025-03-25,HST,Tax,,,1.56,Loblaws,,
2025-03-25,Meds,Medicine,,,27.09,Bayview Pharmacy,,
2025-03-26,PC Lemonade,Juice,,,2.5,Loblaws,,
2025-03-26,Plantain Chips,Snacks,,,5,Loblaws,,
2025-03-26,PC Baby Spinach,Fruits & Vegetables,,,6,Loblaws,,
2025-03-26,Okra,Fruits & Vegetables,,,6.53,Loblaws,,
2025-03-26,Almad Hny Shtbrd,Snacks,,,4,Loblaws,,
2025-03-26,HST,Tax,,,0.65,Loblaws,,
2025-03-27,Roast Chicken Meal (2 @ $13.49),Hot Foods,,,26.98,EatOut,,
2025-03-27,Pork Souvlaki Meal,Hot Foods,,,14.49,EatOut,,
2025-03-27,HST,Tax,,,5.39,EatOut,,
2025-03-28,Digestives Cookie,Snacks,2,,5.98,Loblaws,,
2025-03-28,Milk,Dairy,,,7.25,Loblaws,,
2025-03-28,Oranges,Fruits & Vegetables,,,8.99,Loblaws,,
2025-03-29,Rotis Chicken,Hot Foods,,,8.87,Walmart,,
2025-03-29,HST,Tax,,,1.15,Walmart,,
2025-03-29,Rewards,Discount,,,-5,Walmart,,
2025-03-30,POPCHIPS CHIPS,Snacks,2,,7,Loblaws,,
2025-03-30,CARROT BBY 2LB,Fruits & Vegetables,,,6.29,Loblaws,,
2025-03-30,CRNBRY LWN MUFF,Bakery,,,7,Loblaws,,
2025-03-30,Member Price,Discount,,,-1,Loblaws,,
2025-03-30,HST,Tax,,,1.3,Loblaws,,
2025-03-30,Hob Nobs,Groceries,,,3.49,Loblaws,,
2025-03-30,MENTOS FRUIT,Groceries,,,3,Loblaws,,
